Plate_number	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_group	Ave_abs_blanked	StdDev_abs_blanked	Ave_concentration	StdDev_concentration	Concentration_units
2	t6_14	1	Unknown	FeTot	FeTot	1.09	1	0.06805	7.07E-05	98.77256757	0.102634463	uM
2	t6_15	1	Unknown	Fe2	Fe2	1.09	1	0.02525	0.000707107	36.64963014	1.026344634	uM
2	t6_15	1	Unknown	FeTot	FeTot	1.09	1	0.0755	0.000282843	109.5860228	0.410537853	uM
2	t6_16	1	Unknown	Fe2	Fe2	1.09	1	0.0279	0.000919239	40.49602697	1.334248024	uM
2	t6_16	1	Unknown	FeTot	FeTot	1.09	1	0.07865	7.07E-05	114.1581549	0.102634463	uM
2	t6_2	1	Unknown	Fe2	Fe2	1.09	1	0.0593	0.000212132	86.07220069	0.30790339	uM
2	t6_2	1	Unknown	FeTot	FeTot	1.09	1	0.0818	0.000282843	118.730287	0.410537853	uM
2	t6_3	1	Unknown	Fe2	Fe2	1.09	1	0.03815	0.001131371	55.3735996	1.642151414	uM
2	t6_3	1	Unknown	FeTot	FeTot	1.09	1	0.06805	0.000919239	98.77256757	1.334248024	uM
2	t6_4	1	Unknown	Fe2	Fe2	1.09	1	0.03985	0.001272792	57.84109945	1.847420341	uM
2	t6_4	1	Unknown	FeTot	FeTot	1.09	1	0.07825	0.000777817	113.5775667	1.128979097	uM
2	t6_5	1	Unknown	Fe2	Fe2	1.09	1	0.0293	0.001484924	42.52808567	2.155323731	uM
2	t6_5	1	Unknown	FeTot	FeTot	1.09	1	0.071	0.000141421	103.0544055	0.205268927	uM
2	t6_6	1	Unknown	Fe2	Fe2	1.09	1	0.0314	0.000353553	45.57617372	0.513172317	uM
2	t6_6	1	Unknown	FeTot	FeTot	1.09	1	0.07325	0.000353553	106.3202142	0.513172317	uM
2	t6_7	1	Unknown	Fe2	Fe2	1.09	1	0.0608	0.003606245	88.24940644	5.234357632	uM
2	t6_7	1	Unknown	FeTot	FeTot	1.09	1	0.08435	0.000353553	122.4315367	0.513172317	uM
2	t6_8	1	Unknown	Fe2	Fe2	1.09	1	0.05	0.000636396	72.57352503	0.92371017	uM
2	t6_8	1	Unknown	FeTot	FeTot	1.09	1	0.0743	0.001555635	107.8442582	2.257958194	uM
2	t6_9	1	Unknown	Fe2	Fe2	1.09	1	0.0469	0.001909188	68.07396648	2.771130511	uM
